Country,GreenGalDay,BlueGalDay,GreyGalDay
Nigeria,862.134710632,16.1968742323,9.37542619
Norway,740.7877852973,64.8764148699,49.0857464012
Occ. Palestinian Terr.,592.7240666115,87.3002018496,28.7134727725
Pakistan,526.340241576,302.9903409064,104.8466475786
Panama,766.2600630175,36.409170119,70.5038717827
Paraguay,1313.7486927766,36.6714909751,36.3950364956
Peru,586.367763929,102.4706884783,56.0643773242
Philippines,815.9256124479,49.5878870095,50.0567973863
Poland,731.4338818435,27.4524457747,126.9422611183
Portugal,1341.9944951303,249.0689329567,113.3519983899
Romania,973.2833167878,42.5972494185,55.1136102792
Russian Federation,1121.0208298825,59.2056837518,43.5303977118
Rwanda,578.737350242,5.6403531987,4.7945909487
Saint Kitts and Nevis,940.9651902069,84.5516301707,63.3689061636
Saint Lucia,869.6831147749,80.1720599221,88.9070225307
Saint Vincent/Grenadines,1066.3157053918,68.0696044034,66.9122872904
Samoa,1432.8328971323,45.7054243875,18.3472778747
Sao Tome and Principe,1169.4402019129,43.2629661257,34.7751197892
Saudi Arabia,818.7413013194,314.3058581549,103.1364613817
Senegal,740.1307239846,61.8608704082,17.9589323784
Serbia and Montenegro,964.0907703617,26.4129059557,78.939153669
Seychelles,1207.320869514,134.4166446934,66.0591846312
Sierra Leone,999.2644017333,24.4294741924,11.1711695712
Slovakia,734.0899540706,40.1199928668,78.5198069287
Slovenia,973.9103795113,48.0017430593,216.2275996496
Solomon Islands,484.152413421,15.594019663,18.8439312189
South Africa,743.5405840953,63.2699546855,45.1620126201
Spain,1304.3133341296,212.6076719597,152.1881287034
Sri Lanka,708.7612902568,115.3649901745,59.0549707924
Sudan,1074.4091256585,145.4011398385,10.5468472799
Suriname,730.547268083,95.3793225356,77.3659021445
Swaziland,830.1654497454,139.2203515873,15.5693426156
Sweden,751.3623237507,37.9820653299,100.8075071317
Switzerland,749.0990675386,57.0743543925,92.4655554174
Syria,1055.5856204974,272.8191968208,120.183745728
Tajikistan,1242.5830329109,334.7537769063,41.246081448
Tanzania,699.3748438565,23.8304954155,6.723271694
Thailand,787.2966731903,114.3461323514,54.413862309
Togo,680.367650631,11.6671878712,10.1899914195
Trinidad and Tobago,946.9261653565,64.4921632856,78.8570505778
Tunisia,1305.9427973532,189.7822635391,72.4401652263
Turkey,832.2297203571,172.99137815,87.3612227317
Turkmenistan,1030.9016884391,527.4079644082,8.5225712616
Uganda,763.6451110424,7.4299965769,3.3130553424
UK,662.6304477817,52.6957412619,82.6704292022
Ukraine,849.3744775482,25.9488534042,48.0704501426
United Arab Emirates,1390.5094330459,380.9021873466,143.0229887439
Uruguay,1415.8048677353,41.5170559796,36.9671588063
USA,1424.5915633363,125.9553107641,184.6704368755
Uzbekistan,554.0362026664,253.1298372765,4.231605104
Vanuatu,947.7931382642,53.5019595868,24.2163157093
Venezuela,1014.4110037428,51.1457553007,44.7612140736
Viet Nam,499.4061584221,53.8245829992,71.2310360354
Yemen,450.6340476253,156.6630528484,31.4482444282
Zambia,600.8608932631,25.8565262493,15.1256788733
Zimbabwe,752.5212932026,46.5566191517,28.9894148345
World,734.9274362817,101.5765932364,80.84345703
