"Group.1","WS_2","WS_3"
1962,1232.2,1230.6
1963,1138.6,1151.7
1964,1175.4,1175.2
1965,1115.2,1120.6
1966,1222.3,1223.2
1967,1315.1,1296.8
1968,1268.2,1285.2
1969,1368.5,1403.5
1970,1184.1,1201.5
1971,1164.2,1173.4
1972,1431.3,1424
1973,1804,1792.8
