"DATE","WS_2","WS_3","YEAR"
1962-06-06,5.3,5.6,"1962"
1962-06-07,0,0,"1962"
1962-06-08,0,0,"1962"
1962-06-09,0,0,"1962"
1962-06-10,0,0,"1962"
1962-06-11,6.6,6.3,"1962"
1962-06-12,3.6,3.3,"1962"
1962-06-13,0,0,"1962"
1962-06-14,0,0,"1962"
1962-06-15,1,0.8,"1962"
1962-06-16,0,0,"1962"
1962-06-17,0.5,0.5,"1962"
1962-06-18,0,0,"1962"
1962-06-19,10.7,10.7,"1962"
1962-06-20,0,0,"1962"
1962-06-21,0,0,"1962"
1962-06-22,0,0,"1962"
1962-06-23,13.5,13.2,"1962"
1962-06-24,3.6,3.6,"1962"
1962-06-25,0.3,0.3,"1962"
1962-06-26,3.3,3.3,"1962"
1962-06-27,0.8,0.5,"1962"
1962-06-28,0,0,"1962"
1962-06-29,0,0,"1962"
1962-06-30,0,0,"1962"
1962-07-01,1.5,1.5,"1962"
1962-07-02,0,0,"1962"
1962-07-03,0,0,"1962"
1962-07-04,0,0,"1962"
1962-07-05,0,0,"1962"
1962-07-06,0,0,"1962"
1962-07-07,0,0,"1962"
1962-07-08,0,0,"1962"
1962-07-09,18,18.8,"1962"
1962-07-10,0.8,0.8,"1962"
1962-07-11,0,0,"1962"
1962-07-12,1.5,1.5,"1962"
1962-07-13,5.8,5.8,"1962"
1962-07-14,0,0,"1962"
1962-07-15,2.3,2.3,"1962"
1962-07-16,2.8,2.8,"1962"
1962-07-17,0,0,"1962"
1962-07-18,8.4,8.1,"1962"
1962-07-19,0,0,"1962"
1962-07-20,0,0,"1962"
1962-07-21,12.7,12.4,"1962"
1962-07-22,0,0,"1962"
1962-07-23,10.7,10.9,"1962"
1962-07-24,3,3.3,"1962"
1962-07-25,0,0,"1962"
1962-07-26,9.9,10.4,"1962"
1962-07-27,2.3,2.5,"1962"
1962-07-28,0,0,"1962"
1962-07-29,3.6,3.8,"1962"
1962-07-30,0,0,"1962"
1962-07-31,0.5,0.5,"1962"
1962-08-01,1,1.3,"1962"
1962-08-02,0,0,"1962"
1962-08-03,0,0,"1962"
1962-08-04,0,0,"1962"
1962-08-05,11.7,12.4,"1962"
1962-08-06,0,0,"1962"
1962-08-07,24.6,24.6,"1962"
1962-08-08,1,0.8,"1962"
1962-08-09,0.3,0.5,"1962"
1962-08-10,18.5,18.3,"1962"
1962-08-11,0.5,0.5,"1962"
1962-08-12,0,0,"1962"
1962-08-13,0,0,"1962"
1962-08-14,12.4,12.4,"1962"
1962-08-15,0,0,"1962"
1962-08-16,0,0,"1962"
1962-08-17,9.9,9.9,"1962"
1962-08-18,1.3,1.3,"1962"
1962-08-19,0,0,"1962"
1962-08-20,3.8,3.8,"1962"
1962-08-21,2,2,"1962"
1962-08-22,0,0,"1962"
1962-08-23,0,0,"1962"
1962-08-24,0,0,"1962"
1962-08-25,0,0,"1962"
1962-08-26,0,0,"1962"
1962-08-27,0,0,"1962"
1962-08-28,0,0,"1962"
1962-08-29,9.7,9.9,"1962"
1962-08-30,0,0,"1962"
1962-08-31,0,0,"1962"
1962-09-01,0.3,0.3,"1962"
1962-09-02,0.3,0.3,"1962"
1962-09-03,0,0,"1962"
1962-09-04,0,0,"1962"
1962-09-05,12.2,12.4,"1962"
1962-09-06,4.1,4.1,"1962"
1962-09-07,0,0,"1962"
1962-09-08,0,0,"1962"
1962-09-09,0,0,"1962"
1962-09-10,3.6,3.6,"1962"
1962-09-11,11.2,11.7,"1962"
1962-09-12,1.3,1.3,"1962"
1962-09-13,0,0,"1962"
1962-09-14,0.3,0.3,"1962"
1962-09-15,0,0,"1962"
1962-09-16,0.5,0.5,"1962"
1962-09-17,35.3,35.6,"1962"
1962-09-18,1.3,1.3,"1962"
1962-09-19,1.3,1.3,"1962"
1962-09-20,0.5,0.5,"1962"
1962-09-21,0,0,"1962"
1962-09-22,0.8,0.8,"1962"
1962-09-23,0,0,"1962"
