"ID","Name","mm_yr","lat","long"
9450460,"Ketchikan, AK",-0.3,55.3318,-131.6262
9451600,"Sitka, AK",-2.27,57.0517,-135.342
9452210,"Juneau, AK",-13.16,58.2983,-134.412
9452400,"Skagway, AK",-17.59,59.45,-135.327
9453220,"Yakutat, AK",-14.35,59.5485,-139.7334
9454050,"Cordova, AK",-0.26,60.5583,-145.753
9454240,"Valdez, AK",-8.98,61.125,-146.362
9455090,"Seward, AK",-2.66,60.12,-149.4267
9455500,"Seldovia, AK",-10.24,59.4405,-151.7199
9455760,"Nikiski, AK",-10.52,60.6833,-151.398
9455920,"Anchorage, AK",-0.61,61.2383,-149.89
9457292,"Kodiak Island, AK",-10.77,57.7317,-152.512
9459450,"Sand Point, AK",0.68,55.3367,-160.502
9461380,"Adak Island, AK",-2.96,51.8633,-176.632
9462620,"Unalaska, AK",-5.26,53.88,-166.537
9731158,"Guantanamo Bay, Cuba",1.64,19.9067,-75.1467
9751401,"Lime Tree Bay, VI",2.29,17.6947,-64.7538
9751639,"Charlotte Amalie, VI",1.77,18.3358,-64.92
9755371,"San Juan, PR",1.87,18.4589,-66.1164
9759110,"Magueyes Island, PR",1.6,17.9701,-67.0464
