"Bread","5","11.2834207367071","42.082337344106","6.83426172383255","2015-11-02 09:15:16"
"Apples","6","5.99075022128774","25.2240523246484","5.70412205855013","2015-11-02 09:15:30"
"Milk (1% or less)","8","5.12405239983045","51.6833844186192","4.33007006618307","2015-11-02 09:15:44"
"Black tea","8","53.8176228685161","433.287275254489","43.4712850946193","2015-11-02 09:15:54"
"Chocolate","1","1.48225389447346","125.854882727528","1.44296923392193","2015-11-02 09:16:32"
"Chocolate","1","1.48225389447346","125.854882727528","1.44296923392193","2015-11-02 10:20:15"
"Chocolate","1","1.48225389447346","125.854882727528","1.44296923392193","2015-11-02 11:25:31"
"Chocolate","1","1.48225389447346","125.854882727528","1.44296923392193","2015-11-02 13:40:15"
"Turkey mean","6","14.0799158173562","159.311850214735","20.964344038951","2015-11-02 13:40:46"
"Quinoa","5","1.7819192498124","156.669290785667","10.4673884052466","2015-11-02 13:40:58"
"Pumpkins, squash and gourds","2","0.354455025027223","3.41813965814003","1.26433359632013","2015-11-02 13:41:06"
"Green teak","32","215.270491474064","1733.14910101795","173.885140378477","2015-11-02 13:44:50"
