Basilisk 
Bigfoot 
Black Eyed Beings 
Bray Road Beast 
Centaur 
Cerberus 
Charybdis 
Chimera 
Count Dracula 
Cyclops 
Cynocephalus 
Demon 
Doppelganger 
Dragon 
Echidna 
Elf 
Frankenstein's Monster 
Ghost 
Golem 
Gorgon 
Griffin 
Grim Reaper 
Hydra 
Imp 
Ladon (Python) 
Loch Ness Monster 
Manticore 
Medusa 
Mermaids 
Minotaur 
Mothman 
Mutants 
Nemean Lion 
New Jersey Devil 
Ogre 
Orthros 
Pegasus 
Phoenix 
Sasquatch 
Satyr 
Scylla 
Sea Monsters 
Shapeshifters 
Sphinx 
Thunderbird 
Typhon 
Unicorn 
Vampire 
Wendigo 
Werewolf 
Wraith 
Zombie 
